Target Mass,Impactor Mass/Target Mass,Impact Velocity,Impact Angle,Mass of Remnant
1.00E-04,2.00E-01,2.50E+00,1.00E-01,1.20E-04
1.00E-02,2.00E-01,1.70E+00,1.00E-01,1.16E-02
1.00E+00,2.00E-01,1.40E+00,1.00E-01,1.17E+00
1.00E-04,2.00E-01,2.00E+00,1.00E-01,1.20E-04
1.00E-01,1.00E-01,1.70E+00,1.00E-01,1.10E-01
1.00E-04,2.00E-01,1.00E+00,1.00E-01,1.20E-04
1.00E-02,2.00E-01,3.00E+00,1.00E-01,8.23E-03
1.00E-01,2.00E-01,1.40E+00,1.00E-01,1.19E-01
1.00E-01,7.00E-01,3.50E+00,1.00E-01,1.16E-02
1.00E-01,3.50E-01,3.00E+00,1.00E-01,7.25E-02
1.00E-02,7.00E-01,1.40E+00,1.00E-01,1.62E-02
1.00E-01,3.50E-01,4.00E+00,1.00E-01,1.44E-02
1.00E-04,2.00E-01,4.00E+00,1.00E-01,6.90E-05
1.00E-02,2.00E-01,4.00E+00,1.00E-01,4.72E-03
1.00E-01,7.00E-01,1.70E+00,1.00E-01,1.50E-01
1.00E-03,2.00E-01,1.70E+00,1.00E-01,1.20E-03
1.00E-01,7.00E-01,2.50E+00,1.00E-01,9.83E-02
1.00E+00,2.00E-01,1.70E+00,1.00E-01,1.14E+00
1.00E-03,2.00E-01,3.00E+00,1.00E-01,9.25E-04
1.00E+00,7.00E-01,2.50E+00,1.00E-01,8.39E-01
1.00E-04,2.00E-01,3.00E+00,1.00E-01,1.20E-04
1.00E-01,2.00E-01,1.00E+00,1.00E-01,1.20E-01
1.00E+00,7.00E-01,1.40E+00,1.00E-01,7.58E-01
1.00E-01,3.50E-01,3.50E+00,1.00E-01,5.06E-02
1.00E-02,7.00E-01,3.50E+00,1.00E-01,1.46E-03
1.00E-01,3.50E-01,1.70E+00,1.00E-01,1.27E-01
1.00E-01,2.00E-01,3.50E+00,1.00E-01,6.59E-02
1.00E+00,2.00E-01,3.00E+00,1.00E-01,7.57E-01
1.00E-01,2.00E-01,1.70E+00,1.00E-01,1.17E-01
1.00E-01,3.50E-01,1.00E+00,1.00E-01,1.35E-01
1.00E-02,2.00E-01,1.00E+00,1.00E-01,1.20E-02
1.00E-03,2.00E-01,4.00E+00,1.00E-01,7.82E-04
1.00E-02,7.00E-01,2.00E+00,1.00E-01,1.38E-02
1.00E-01,7.00E-01,2.00E+00,1.00E-01,1.22E-01
1.00E-03,2.00E-01,2.00E+00,1.00E-01,1.14E-03
1.00E-01,1.00E-01,2.50E+00,1.00E-01,1.05E-01
1.00E-02,2.00E-01,3.50E+00,1.00E-01,6.35E-03
1.00E-01,2.00E-01,4.00E+00,1.00E-01,4.66E-02
1.00E+00,7.00E-01,1.70E+00,1.00E-01,1.45E+00
1.00E+00,7.00E-01,2.00E+00,1.00E-01,1.21E+00
1.00E-02,7.00E-01,1.00E+00,1.00E-01,1.68E-02
1.00E+00,2.00E-01,3.50E+00,1.00E-01,4.95E-01
1.00E-01,7.00E-01,1.00E+00,1.00E-01,1.68E-01
1.00E-01,1.00E-01,2.00E+00,1.00E-01,1.09E-01
1.00E-01,7.00E-01,3.00E+00,1.00E-01,7.42E-02
1.00E-03,2.00E-01,1.00E+00,1.00E-01,1.20E-03
1.00E-04,2.00E-01,3.50E+00,1.00E-01,1.19E-04
1.00E-01,7.00E-01,1.40E+00,1.00E-01,1.63E-01
1.00E-01,3.50E-01,1.40E+00,1.00E-01,1.32E-01
1.00E-01,1.00E-01,4.00E+00,1.00E-01,7.33E-02
1.00E-04,2.00E-01,1.70E+00,1.00E-01,1.20E-04
1.00E+00,2.00E-01,2.00E+00,1.00E-01,1.08E+00
1.00E-01,1.00E-01,1.00E+00,1.00E-01,1.10E-01
1.00E-02,2.00E-01,2.00E+00,1.00E-01,1.12E-02
1.00E-01,1.00E-01,3.50E+00,1.00E-01,8.18E-02
1.00E-01,1.00E-01,3.00E+00,1.00E-01,9.35E-02
1.00E-02,2.00E-01,2.50E+00,1.00E-01,1.00E-02
1.00E-01,1.00E-01,1.40E+00,1.00E-01,1.10E-01
1.00E+00,7.00E-01,4.00E+00,1.00E-01,0.00E+00
1.00E-02,7.00E-01,2.50E+00,1.00E-01,1.07E-02
1.00E-03,2.00E-01,1.40E+00,1.00E-01,1.20E-03
1.00E-03,2.00E-01,2.50E+00,1.00E-01,1.18E-03
1.00E-01,3.50E-01,2.00E+00,1.00E-01,1.17E-01
1.00E-01,7.00E-01,4.00E+00,1.00E-01,0.00E+00
1.00E-02,7.00E-01,1.70E+00,1.00E-01,1.51E-02
1.00E+00,7.00E-01,3.50E+00,1.00E-01,0.00E+00
1.00E+00,2.00E-01,4.00E+00,1.00E-01,2.11E-01
1.00E-01,2.00E-01,3.00E+00,1.00E-01,8.04E-02
1.00E+00,7.00E-01,1.00E+00,1.00E-01,1.64E+00
1.00E-03,2.00E-01,3.50E+00,1.00E-01,8.02E-04
1.00E-01,2.00E-01,2.00E+00,1.00E-01,1.14E-01
1.00E-02,2.00E-01,1.40E+00,1.00E-01,1.18E-02
